CustomerID,Age,Tenure_Months,Monthly_Charges,Total_Charges,Contract_Type,Internet_Service,Online_Security,Online_Backup,Device_Protection,Tech_Support,Streaming_TV,Streaming_Movies,Paperless_Billing,Payment_Method,Churn
CUST00001,56,11,78.03,4683.75,Two year,DSL,Yes,No internet,No internet,Yes,No internet,No internet,No,Credit card,0
CUST00002,69,26,132.35,4521.54,Two year,Fiber optic,Yes,Yes,No,Yes,No,Yes,Yes,Mailed check,0
CUST00003,46,63,92.56,931.55,Two year,DSL,No,No,Yes,No,No,Yes,No,Electronic check,1
CUST00004,32,59,90.19,1422.14,Two year,Fiber optic,No,No internet,Yes,No,No,No,No,Mailed check,0
CUST00005,60,27,24.44,7779.0,Month-to-month,No,Yes,No internet,Yes,No internet,No internet,No,No,Electronic check,0
CUST00006,25,49,148.27,1905.05,Month-to-month,No,Yes,Yes,No,No,No internet,No,No,Electronic check,0
CUST00007,78,33,35.99,7821.87,Month-to-month,DSL,Yes,Yes,Yes,No internet,Yes,No internet,No,Electronic check,0
CUST00008,38,1,50.05,4302.11,Two year,Fiber optic,No internet,No internet,No internet,Yes,No,No internet,No,Credit card,0
CUST00009,56,21,26.72,1172.73,Two year,Fiber optic,No internet,Yes,No internet,No,No internet,Yes,Yes,Bank transfer,0
CUST00010,75,55,103.2,884.49,Two year,DSL,Yes,No internet,No,Yes,Yes,No,Yes,Bank transfer,0
CUST00011,36,6,49.21,1750.03,Month-to-month,Fiber optic,No,No,No internet,Yes,No,Yes,No,Credit card,0
CUST00012,40,69,43.4,7412.53,Two year,DSL,Yes,Yes,Yes,Yes,No internet,No internet,Yes,Bank transfer,1
CUST00013,28,5,31.51,3371.79,One year,Fiber optic,No internet,No,No,Yes,No internet,No internet,No,Credit card,0
CUST00014,28,3,33.43,3223.93,Two year,DSL,No,No,Yes,No,Yes,No internet,Yes,Mailed check,0
CUST00015,41,53,96.01,2574.33,One year,Fiber optic,No internet,No,No,Yes,No,Yes,Yes,Credit card,1
CUST00016,70,23,109.47,1261.79,Two year,DSL,No,No internet,No,No internet,No,No internet,No,Bank transfer,0
CUST00017,53,53,71.66,3954.02,Month-to-month,Fiber optic,No internet,No,Yes,No,No internet,No,Yes,Bank transfer,1
CUST00018,57,37,82.39,1127.38,Two year,No,No,No,No internet,Yes,No,Yes,No,Mailed check,1
CUST00019,41,17,109.18,6700.29,One year,Fiber optic,No,No,No internet,No,Yes,No internet,Yes,Credit card,0
CUST00020,20,1,22.26,3026.14,One year,DSL,No,No internet,No,No internet,No internet,Yes,No,Mailed check,0
CUST00021,39,51,62.01,3060.95,Two year,No,No,No,Yes,Yes,No internet,Yes,Yes,Electronic check,0
CUST00022,70,45,146.5,3844.65,One year,Fiber optic,No internet,No,Yes,No internet,Yes,No internet,No,Credit card,0
CUST00023,19,4,95.41,3608.61,One year,No,No internet,Yes,No,Yes,No internet,No internet,Yes,Mailed check,1
CUST00024,41,62,53.05,7959.38,Month-to-month,Fiber optic,No,No internet,No internet,No internet,No,Yes,No,Mailed check,0
CUST00025,61,65,87.82,4408.51,Two year,No,No,No,Yes,Yes,No,Yes,Yes,Bank transfer,1
CUST00026,47,32,64.54,796.79,Two year,DSL,No internet,Yes,No internet,No,No internet,No internet,No,Credit card,1
CUST00027,55,34,89.19,4894.33,Two year,Fiber optic,No,No internet,No internet,Yes,Yes,No,Yes,Electronic check,0
CUST00028,19,39,36.35,1297.52,One year,Fiber optic,No,No internet,No,No,Yes,Yes,No,Electronic check,0
CUST00029,77,26,37.25,344.41,Two year,DSL,No,No internet,No,Yes,No,Yes,Yes,Credit card,0
CUST00030,38,34,38.66,7768.86,Two year,No,Yes,No internet,No internet,Yes,Yes,No,No,Credit card,0
CUST00031,50,54,142.18,6210.96,Month-to-month,DSL,No,No internet,Yes,No internet,No internet,No internet,No,Mailed check,0
CUST00032,29,3,115.28,7842.86,Month-to-month,DSL,Yes,No internet,Yes,No internet,No internet,No internet,No,Bank transfer,0
CUST00033,75,50,41.11,3875.24,Month-to-month,No,No,No,No,No internet,No,No,No,Bank transfer,0
CUST00034,39,12,44.49,4304.83,One year,DSL,No internet,No,No internet,Yes,No,No internet,Yes,Bank transfer,1
CUST00035,78,65,115.01,1429.86,Two year,Fiber optic,Yes,No,Yes,Yes,No,No internet,Yes,Credit card,0
CUST00036,61,54,40.3,2050.57,Month-to-month,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Yes,Bank transfer,0
CUST00037,42,5,50.49,6724.54,Month-to-month,Fiber optic,No,Yes,No,No,No internet,Yes,No,Mailed check,0
CUST00038,66,57,145.24,2913.87,Month-to-month,DSL,No,No,No internet,No,No internet,Yes,No,Credit card,1
CUST00039,44,17,53.19,6631.84,Two year,Fiber optic,Yes,No internet,Yes,Yes,No internet,No,No,Credit card,0
CUST00040,76,47,106.01,5701.21,Two year,Fiber optic,No internet,No,No,No internet,No,No internet,No,Bank transfer,0
CUST00041,59,23,147.22,1499.65,Two year,Fiber optic,No internet,No,Yes,No internet,No internet,No internet,No,Electronic check,1
CUST00042,45,14,68.66,4108.83,One year,Fiber optic,No,No internet,Yes,No internet,Yes,Yes,Yes,Electronic check,0
CUST00043,77,66,22.28,5451.36,One year,Fiber optic,No internet,No,Yes,Yes,Yes,Yes,Yes,Mailed check,0
CUST00044,33,51,51.74,1956.79,Month-to-month,Fiber optic,No internet,No,No,No internet,No internet,No,Yes,Bank transfer,0
CUST00045,32,38,128.01,6662.44,Two year,DSL,No,No,No internet,Yes,No,No internet,No,Bank transfer,1
CUST00046,79,64,132.4,4404.14,Month-to-month,Fiber optic,No internet,Yes,No,No,No internet,No,No,Credit card,0
